num_experts,metric,top_k,accuracy_mean,accuracy_std,macro_f1_mean,macro_f1_std
2,cosine,1,0.7494736842105263,0.04827590755470931,0.7159200237230079,0.04917042321572163
2,cosine,2,0.7536842105263158,0.00873677164771136,0.7201428327760061,0.011507466856898125
2,euclidean,1,0.76,0.03352667841569472,0.7253212523601527,0.038940986606074604
2,euclidean,2,0.783157894736842,0.030729310941489583,0.744662776075339,0.03479640049979286
3,cosine,1,0.7557894736842106,0.04200279930286436,0.7146839400373579,0.0449642443886458
3,cosine,2,0.7810526315789474,0.034610793812372455,0.7486977869723925,0.03705687129542062
3,euclidean,1,0.775438596491228,0.03234927879751897,0.7420067262360637,0.03425679268151049
3,euclidean,2,0.776140350877193,0.016345003086108246,0.7352090965287952,0.02060022025376958
4,cosine,1,0.7719298245614035,0.02683694480838308,0.7373200630581985,0.03062797663922665
4,cosine,2,0.7964912280701755,0.03552360830055542,0.761660220987789,0.04271230887948526
4,euclidean,1,0.7628070175438596,0.034964696612921,0.7240228332884665,0.03676560900632376
4,euclidean,2,0.7382456140350877,0.03370978561256266,0.6952509446043559,0.0303934433144536
5,cosine,1,0.7775438596491229,0.015613049446517204,0.737102943098196,0.01399919305802694
5,cosine,2,0.7663157894736842,0.020549544511363253,0.7290190020467345,0.023541279478849833
5,cosine,3,0.7810526315789474,0.03380096723871521,0.7428217849662133,0.04318914989182837
5,euclidean,1,0.76,0.0250084627104638,0.7276792059345726,0.02682542625201429
5,euclidean,2,0.7614035087719297,0.04283001970432878,0.7174966285982796,0.04874756730349977
5,euclidean,3,0.783157894736842,0.014968932636983585,0.7510541994576851,0.018881129071995004
6,cosine,1,0.7670175438596492,0.021429377522249087,0.7302250263461287,0.024177611226087005
6,cosine,2,0.7529824561403509,0.032406315477947555,0.7167092801675239,0.033876520336846044
6,cosine,3,0.7740350877192983,0.017994219515730648,0.7372405650762024,0.0166662262905919
6,euclidean,1,0.7824561403508772,0.027516468669049356,0.7477137524190347,0.03005228101896
6,euclidean,2,0.7263157894736842,0.051148700831976306,0.6877528432079534,0.0532300515310441
6,euclidean,3,0.7459649122807017,0.05736600670921563,0.7149292118136332,0.05533454932183647
8,cosine,1,0.7782456140350877,0.025712380295524587,0.7378523232347668,0.03607389494549714
8,cosine,2,0.7691228070175439,0.05831321378397816,0.7312189432941115,0.06381856483573577
8,cosine,3,0.7775438596491229,0.026327482782181177,0.7388914908844647,0.028092501637754983
8,cosine,4,0.7887719298245613,0.020369017928000024,0.757689649457405,0.025567096377331955
8,euclidean,1,0.7719298245614035,0.02602174907752866,0.7409403735621559,0.03059387060610883
8,euclidean,2,0.7719298245614035,0.017009403008478346,0.7396425202118847,0.020810060671539832
8,euclidean,3,0.76,0.020549544511363236,0.7263714956348272,0.021345244581675443
8,euclidean,4,0.7550877192982457,0.03675009395866991,0.7186359799405818,0.04266475757227385
