training_run,seed,runtime,accuracy,macro_f1,weighted_f1
1,42,run_20260712-163228,0.8772,0.8564,0.8770
2,42,run_20260714-015432,0.8667,0.8390,0.8650
3,42,run_20260714-083056,0.8211,0.7889,0.8162
1,43,run_20260712-175108,0.8316,0.8004,0.8284
2,43,run_20260714-035630,0.8386,0.8140,0.8383
3,43,run_20260714-091714,0.8246,0.7951,0.8226
1,44,run_20260712-184932,0.8526,0.8286,0.8507
2,44,run_20260714-044618,0.8702,0.8423,0.8698
3,44,run_20260714-095701,0.8281,0.7806,0.8206
1,45,run_20260712-203320,0.8421,0.8031,0.8400
2,45,run_20260714-060715,0.8772,0.8494,0.8744
3,45,run_20260714-113714,0.8632,0.8296,0.8593
1,46,run_20260712-221813,0.8491,0.8058,0.8474
2,46,run_20260714-074504,0.8491,0.8154,0.8455
3,46,run_20260714-113714,0.8667,0.8338,0.8656
