training_run,seed,runtime,accuracy,macro_f1,weighted_f1
1,42,run_20260712-160951,0.8561,0.8281,0.8543
2,42,run_20260714-015434,0.8596,0.8312,0.8575
3,42,run_20260714-044024,0.8491,0.8206,0.8485
1,43,run_20260712-172840,0.8456,0.8095,0.8426
2,43,run_20260714-023616,0.8596,0.8264,0.8549
3,43,run_20260714-050934,0.8737,0.8446,0.8713
1,44,run_20260712-183205,0.8421,0.8093,0.8413
2,44,run_20260714-030233,0.8772,0.8506,0.8756
3,44,run_20260714-054708,0.8807,0.8523,0.8789
1,45,run_20260712-200700,0.8702,0.8431,0.8675
2,45,run_20260714-032908,0.8737,0.8443,0.8728
3,45,run_20260714-061449,0.8737,0.8531,0.8728
1,46,run_20260712-214616,0.8807,0.8600,0.8780
2,46,run_20260714-035329,0.8491,0.8171,0.8455
3,46,run_20260714-065921,0.8947,0.8687,0.8909
