seed,dataset,backbone,initialization,model,routing,G,top_k,tau,accuracy,macro_f1,weighted_f1,params_m,flops_g,model_size_mb,peak_cpu_memory_mb,cpu_latency_ms
42,plantdoc,efficientnetb0,imagenet_pretrained,dense,none,,,,0.8702,0.8503,0.8665,4.0178,,,,
43,plantdoc,efficientnetb0,imagenet_pretrained,dense,none,,,,0.8807,0.8566,0.8795,4.0178,,,,
44,plantdoc,efficientnetb0,imagenet_pretrained,dense,none,,,,0.8491,0.8161,0.8486,4.0178,,,,
45,plantdoc,efficientnetb0,imagenet_pretrained,dense,none,,,,0.8702,0.8424,0.8674,4.0178,,,,
46,plantdoc,efficientnetb0,imagenet_pretrained,dense,none,,,,0.8702,0.8527,0.8707,4.0178,,,,
42,plantdoc,efficientnetb0,imagenet_pretrained,learned_gate_moe,learned,4,2,0.5,0.8421,0.7995,0.8372,16.1765,,,,
43,plantdoc,efficientnetb0,imagenet_pretrained,learned_gate_moe,learned,4,2,0.5,0.8386,0.8077,0.8384,16.1765,,,,
44,plantdoc,efficientnetb0,imagenet_pretrained,learned_gate_moe,learned,4,2,0.5,0.8386,0.8045,0.8348,16.1765,,,,
45,plantdoc,efficientnetb0,imagenet_pretrained,learned_gate_moe,learned,4,2,0.5,0.8456,0.821,0.8427,16.1765,,,,
46,plantdoc,efficientnetb0,imagenet_pretrained,learned_gate_moe,learned,4,2,0.5,0.8667,0.8326,0.8632,16.1765,,,,
42,plantdoc,efficientnetb0,imagenet_pretrained,cluster_moe,cosine,4,2,0.5,0.8702,0.8553,0.8658,16.1569,,,,
43,plantdoc,efficientnetb0,imagenet_pretrained,cluster_moe,cosine,4,2,0.5,0.8632,0.8324,0.8602,16.1569,,,,
44,plantdoc,efficientnetb0,imagenet_pretrained,cluster_moe,cosine,4,2,0.5,0.8702,0.8399,0.8684,16.1569,,,,
45,plantdoc,efficientnetb0,imagenet_pretrained,cluster_moe,cosine,4,2,0.5,0.8596,0.8354,0.8585,16.1569,,,,
46,plantdoc,efficientnetb0,imagenet_pretrained,cluster_moe,cosine,4,2,0.5,0.8807,0.8576,0.8781,16.1569,,,,
42,plantdoc,efficientnetb0_timm,imagenet_pretrained,dense,none,,,,0.8561,0.8281,0.8543,4.0178,,,,
43,plantdoc,efficientnetb0_timm,imagenet_pretrained,dense,none,,,,0.8456,0.8095,0.8426,4.0178,,,,
44,plantdoc,efficientnetb0_timm,imagenet_pretrained,dense,none,,,,0.8421,0.8093,0.8413,4.0178,,,,
45,plantdoc,efficientnetb0_timm,imagenet_pretrained,dense,none,,,,0.8702,0.8431,0.8675,4.0178,,,,
46,plantdoc,efficientnetb0_timm,imagenet_pretrained,dense,none,,,,0.8807,0.86,0.878,4.0178,,,,
42,plantdoc,efficientnetb0_timm,imagenet_pretrained,learned_gate_moe,learned,4,2,0.5,0.8667,0.839,0.865,14.8955,,,,
43,plantdoc,efficientnetb0_timm,imagenet_pretrained,learned_gate_moe,learned,4,2,0.5,0.8386,0.814,0.8383,14.8955,,,,
