seed,‖μ₁‖₂,‖μ₂‖₂,‖μ₃‖₂,‖μ₄‖₂,mean(‖μ_g‖₂),std(‖μ_g‖₂)
42,0.6418,0.6853,0.6716,0.6249,0.6559,0.0275
43,0.6497,0.587,0.703,0.664,0.6509,0.0482
44,0.6862,0.6261,0.6472,0.7027,0.6655,0.0351
45,0.6698,0.6049,0.65,0.6898,0.6536,0.0363
46,0.6655,0.6426,0.6155,0.6996,0.6558,0.0357
47,0.6994,0.5856,0.6467,0.4612,0.5982,0.1025
48,0.7728,0.4747,0.4431,0.6305,0.5803,0.1522
49,0.4742,0.6272,0.4981,0.7406,0.585,0.1236
50,0.4243,0.7499,0.5477,0.7257,0.6119,0.1542
51,0.4976,0.4956,0.5096,0.7097,0.5531,0.1045
mean_across_seeds,,,,,,0.0820 +/- 0.0509
