seed,model,routing,G,top_k,tau,primary_expert,num_samples,accuracy,macro_f1,most_confused_pair,most_confused_count,class_0_recall,class_1_recall,class_2_recall,class_3_recall,class_4_recall,class_5_recall,class_6_recall,class_7_recall
42,cluster_moe,cosine,4,2,0.5,0,70,0.8429,0.4793,3->1,4,0.25,0.925,1.0,0.8182,0.0,1.0,0.0,0.0
42,cluster_moe,cosine,4,2,0.5,1,43,0.9767,0.4983,0->2,1,0.0,0.0,1.0,0.0,0.0,1.0,1.0,1.0
42,cluster_moe,cosine,4,2,0.5,2,108,0.9074,0.4499,5->6,2,1.0,0.0,0.0,0.0,0.0,0.8,0.9737,0.7778
42,cluster_moe,cosine,4,2,0.5,3,64,0.7656,0.466,7->4,3,0.7143,0.0,0.0,0.25,1.0,1.0,0.0,0.8235
43,cluster_moe,cosine,4,2,0.5,0,52,0.75,0.3295,7->4,3,0.5,0.0,0.0,0.5,0.9091,0.0,0.0,0.8333
43,cluster_moe,cosine,4,2,0.5,1,77,0.8182,0.312,3->1,7,0.8462,0.925,0.0,0.6522,0.0,0.0,0.0,0.0
43,cluster_moe,cosine,4,2,0.5,2,40,0.9,0.2016,0->2,1,0.0,0.0,0.9459,0.0,0.0,0.5,0.0,0.0
43,cluster_moe,cosine,4,2,0.5,3,116,0.931,0.4501,6->5,2,0.0,0.0,0.0,1.0,0.0,0.9583,0.962,0.6364
44,cluster_moe,cosine,4,2,0.5,0,108,0.9259,0.4572,6->5,4,1.0,0.0,0.0,0.0,0.0,0.9091,0.9487,0.7143
44,cluster_moe,cosine,4,2,0.5,1,79,0.7975,0.5521,3->1,5,0.8182,0.8462,0.5,0.7391,0.0,1.0,0.0,0.5
44,cluster_moe,cosine,4,2,0.5,2,56,0.8393,0.4887,0->4,2,0.5714,0.0,0.5,0.6667,1.0,0.0,0.0,0.9
44,cluster_moe,cosine,4,2,0.5,3,42,0.9286,0.4115,0->2,1,0.0,0.5,0.9722,1.0,0.0,1.0,0.0,0.0
45,cluster_moe,cosine,4,2,0.5,0,112,0.9286,0.4715,6->5,2,0.5,0.0,0.0,0.5,0.0,0.9565,0.9615,0.8333
45,cluster_moe,cosine,4,2,0.5,1,64,0.8281,0.506,0->4,2,0.6,0.0,0.75,0.8,0.9545,0.0,0.0,0.9048
45,cluster_moe,cosine,4,2,0.5,2,68,0.8235,0.4288,3->1,7,0.8571,0.9474,1.0,0.6,0.0,0.0,0.0,0.0
45,cluster_moe,cosine,4,2,0.5,3,41,0.8537,0.3851,5->2,2,0.0,0.5,0.9697,0.0,0.0,0.3333,0.0,1.0
46,cluster_moe,cosine,4,2,0.5,0,52,0.8269,0.3885,0->4,2,0.5,0.0,0.0,1.0,1.0,0.0,0.0,0.85
46,cluster_moe,cosine,4,2,0.5,1,98,0.949,0.4654,5->6,3,0.0,0.0,0.0,1.0,0.0,0.8125,0.9867,0.8
46,cluster_moe,cosine,4,2,0.5,2,81,0.7901,0.4474,3->1,4,0.75,0.875,0.5,0.75,0.0,0.5,0.0,0.0
46,cluster_moe,cosine,4,2,0.5,3,54,0.8704,0.4178,5->2,2,0.0,0.0,0.973,0.0,0.0,0.75,0.6667,1.0
47,cluster_moe,cosine,4,2,0.5,0,93,0.9355,0.5314,6->5,3,1.0,0.0,0.0,1.0,0.0,0.9,0.9474,0.8
47,cluster_moe,cosine,4,2,0.5,1,67,0.791,0.2771,3->1,4,0.5714,0.9,0.0,0.7222,0.0,0.0,0.0,0.0
47,cluster_moe,cosine,4,2,0.5,2,47,0.8936,0.5266,0->2,1,0.0,0.0,1.0,0.0,1.0,0.6667,1.0,0.6667
47,cluster_moe,cosine,4,2,0.5,3,78,0.8462,0.5938,0->4,2,0.6364,0.0,0.25,0.8571,0.9524,1.0,0.0,0.95
48,cluster_moe,cosine,4,2,0.5,0,73,0.9452,0.2056,7->6,2,0.0,0.0,0.0,0.0,0.0,1.0,0.9855,0.0
48,cluster_moe,cosine,4,2,0.5,1,104,0.8077,0.5629,3->1,5,0.5789,0.9459,0.5,0.6667,0.9545,0.0,0.0,0.8
48,cluster_moe,cosine,4,2,0.5,2,62,0.8548,0.6293,6->5,3,1.0,0.5,0.0,0.875,0.0,0.9565,0.6667,0.8421
48,cluster_moe,cosine,4,2,0.5,3,46,0.913,0.4744,1->2,1,0.0,0.3333,1.0,1.0,0.0,0.0,1.0,0.5
49,cluster_moe,cosine,4,2,0.5,0,63,0.8571,0.4944,6->5,4,0.5,0.0,0.0,0.6667,0.0,1.0,0.5556,0.9583
49,cluster_moe,cosine,4,2,0.5,1,40,0.925,0.4531,1->2,1,0.0,0.0,1.0,0.0,1.0,0.5,0.0,1.0
49,cluster_moe,cosine,4,2,0.5,2,110,0.8,0.5374,3->1,5,0.5556,0.9024,0.5,0.7083,1.0,0.0,0.0,0.5
49,cluster_moe,cosine,4,2,0.5,3,72,0.9583,0.2473,7->6,2,0.0,0.0,0.0,0.0,0.0,1.0,0.9855,0.0
50,cluster_moe,cosine,4,2,0.5,0,102,0.8725,0.7919,2->0,2,0.6667,0.5,0.6667,0.75,1.0,0.9545,0.8333,0.9545
50,cluster_moe,cosine,4,2,0.5,1,77,0.9481,0.2777,6->5,2,0.0,0.0,0.0,0.0,0.0,1.0,0.9583,0.75
50,cluster_moe,cosine,4,2,0.5,2,73,0.8082,0.4201,3->1,6,0.75,0.925,0.0,0.6522,0.0,1.0,0.0,0.0
50,cluster_moe,cosine,4,2,0.5,3,33,0.9697,0.4561,7->2,1,0.0,0.0,1.0,0.0,0.0,1.0,1.0,0.5
51,cluster_moe,cosine,4,2,0.5,0,70,0.8714,0.4649,2->6,2,0.0,0.0,0.9211,1.0,0.0,0.9524,0.0,0.8
51,cluster_moe,cosine,4,2,0.5,1,61,0.8525,0.6079,0->2,1,0.6923,0.0,1.0,0.5,1.0,0.0,1.0,0.9444
51,cluster_moe,cosine,4,2,0.5,2,71,0.8169,0.5304,3->1,5,0.4286,0.925,1.0,0.7619,0.0,1.0,0.0,0.0
