seed,dataset,num_classes,num_train,num_val,num_test,backbone,initialization,model,routing,G,top_k,tau,accuracy,macro_f1,weighted_f1,params_m,flops_g,latency_ms
42,plantvillage,10,12808,1601,1602,mobilenetv3small_lamb1k,imagenet_pretrained,dense,none,,,,0.9956,0.9945,0.9956,1.5281,0.1229,6.2622
43,plantvillage,10,12808,1601,1602,mobilenetv3small_lamb1k,imagenet_pretrained,dense,none,,,,0.9956,0.996,0.9956,1.5281,0.1229,6.2622
44,plantvillage,10,12808,1601,1602,mobilenetv3small_lamb1k,imagenet_pretrained,dense,none,,,,0.9944,0.9945,0.9944,1.5281,0.1229,6.2622
45,plantvillage,10,12808,1601,1602,mobilenetv3small_lamb1k,imagenet_pretrained,dense,none,,,,0.9963,0.9961,0.9963,1.5281,0.1229,6.2622
46,plantvillage,10,12808,1601,1602,mobilenetv3small_lamb1k,imagenet_pretrained,dense,none,,,,0.9944,0.9939,0.9944,1.5281,0.1229,6.2622
42,plantvillage,10,12808,1601,1602,mobilenetv3small_torchvision,imagenet_pretrained,learned_gate_moe,learned,4,2,0.5,0.9938,0.9935,0.9938,7.4696,0.1269,8.2498
43,plantvillage,10,12808,1601,1602,mobilenetv3small_torchvision,imagenet_pretrained,learned_gate_moe,learned,4,2,0.5,0.9944,0.9948,0.9944,7.4696,0.1269,8.2498
44,plantvillage,10,12808,1601,1602,mobilenetv3small_torchvision,imagenet_pretrained,learned_gate_moe,learned,4,2,0.5,0.9938,0.9935,0.9938,7.4696,0.1269,8.2498
45,plantvillage,10,12808,1601,1602,mobilenetv3small_torchvision,imagenet_pretrained,learned_gate_moe,learned,4,2,0.5,0.995,0.9954,0.995,7.4696,0.1269,8.2498
46,plantvillage,10,12808,1601,1602,mobilenetv3small_torchvision,imagenet_pretrained,learned_gate_moe,learned,4,2,0.5,0.9856,0.9829,0.9856,7.4696,0.1269,8.2498
42,plantvillage,10,12808,1601,1602,mobilenetv3small_torchvision,imagenet_pretrained,cluster_moe,cosine,4,2,0.5,0.9963,0.9951,0.9963,7.4599,0.1268,7.9588
43,plantvillage,10,12808,1601,1602,mobilenetv3small_torchvision,imagenet_pretrained,cluster_moe,cosine,4,2,0.5,0.9931,0.9935,0.9931,7.4599,0.1268,7.9588
44,plantvillage,10,12808,1601,1602,mobilenetv3small_torchvision,imagenet_pretrained,cluster_moe,cosine,4,2,0.5,0.9931,0.9933,0.9931,7.4599,0.1268,7.9588
45,plantvillage,10,12808,1601,1602,mobilenetv3small_torchvision,imagenet_pretrained,cluster_moe,cosine,4,2,0.5,0.9925,0.993,0.9925,7.4599,0.1268,7.9588
