seed,model,routing,G,top_k,tau,mask_expert,accuracy,macro_f1,weighted_f1,delta_accuracy,delta_macro_f1,delta_weighted_f1,class_0_f1,class_1_f1,class_2_f1,class_3_f1,class_4_f1,class_5_f1,class_6_f1,class_7_f1
42,cluster_moe,cosine,4,2,0.5,none,0.8702,0.8372,0.8681,0.0,0.0,0.0,0.6316,0.8706,0.9367,0.7755,0.88,0.8462,0.95,0.807
42,cluster_moe,cosine,4,2,0.5,0,0.8035,0.7681,0.7925,-0.0667,-0.0691,-0.0756,0.6383,0.5333,0.925,0.75,0.7857,0.8302,0.9157,0.7667
42,cluster_moe,cosine,4,2,0.5,1,0.7789,0.7327,0.7617,-0.0912,-0.1045,-0.1065,0.6154,0.8605,0.4528,0.6441,0.8,0.8148,0.9157,0.7586
42,cluster_moe,cosine,4,2,0.5,2,0.7825,0.7477,0.7805,-0.0877,-0.0895,-0.0877,0.5714,0.8132,0.8315,0.76,0.8148,0.5455,0.8652,0.7797
42,cluster_moe,cosine,4,2,0.5,3,0.8561,0.8174,0.8503,-0.014,-0.0198,-0.0178,0.5625,0.8636,0.9136,0.717,0.8889,0.8364,0.9333,0.8235
43,cluster_moe,cosine,4,2,0.5,none,0.8632,0.8351,0.8618,0.0,0.0,0.0,0.7179,0.8315,0.9091,0.766,0.8333,0.8727,0.95,0.8
43,cluster_moe,cosine,4,2,0.5,0,0.8246,0.7817,0.8181,-0.0386,-0.0533,-0.0436,0.6842,0.8172,0.9091,0.766,0.5882,0.8421,0.9102,0.7368
43,cluster_moe,cosine,4,2,0.5,1,0.8175,0.7816,0.814,-0.0456,-0.0534,-0.0477,0.6667,0.6944,0.875,0.7234,0.7636,0.8,0.9441,0.7857
43,cluster_moe,cosine,4,2,0.5,2,0.8211,0.7916,0.8183,-0.0421,-0.0434,-0.0435,0.7,0.8315,0.75,0.766,0.7407,0.8519,0.9212,0.7719
43,cluster_moe,cosine,4,2,0.5,3,0.8035,0.7914,0.8057,-0.0596,-0.0437,-0.0561,0.6829,0.7629,0.9114,0.766,0.7547,0.8364,0.831,0.7857
44,cluster_moe,cosine,4,2,0.5,none,0.8737,0.8528,0.8728,0.0,0.0,0.0,0.7368,0.8095,0.9367,0.7843,0.898,0.8571,0.9427,0.8571
44,cluster_moe,cosine,4,2,0.5,0,0.8386,0.8243,0.8391,-0.0351,-0.0285,-0.0337,0.7368,0.8132,0.925,0.8,0.8627,0.8,0.8767,0.7797
44,cluster_moe,cosine,4,2,0.5,1,0.8246,0.7925,0.8175,-0.0491,-0.0603,-0.0553,0.5854,0.6061,0.9136,0.7719,0.8627,0.8276,0.9308,0.8421
44,cluster_moe,cosine,4,2,0.5,2,0.8456,0.8175,0.8418,-0.0281,-0.0353,-0.031,0.75,0.8235,0.9367,0.7778,0.6471,0.8364,0.8916,0.8772
44,cluster_moe,cosine,4,2,0.5,3,0.7965,0.7613,0.7875,-0.0772,-0.0914,-0.0853,0.7179,0.8,0.5455,0.7547,0.8,0.7164,0.9427,0.8136
45,cluster_moe,cosine,4,2,0.5,none,0.8702,0.8423,0.8682,0.0,0.0,0.0,0.7222,0.8409,0.9024,0.68,0.913,0.8846,0.9615,0.8333
45,cluster_moe,cosine,4,2,0.5,0,0.7895,0.7765,0.7899,-0.0807,-0.0658,-0.0783,0.7027,0.8132,0.9048,0.5862,0.8571,0.7843,0.806,0.7576
45,cluster_moe,cosine,4,2,0.5,1,0.8456,0.8122,0.8437,-0.0246,-0.03,-0.0245,0.6061,0.8132,0.8916,0.6429,0.9268,0.8679,0.9494,0.8
45,cluster_moe,cosine,4,2,0.5,2,0.8281,0.7973,0.8235,-0.0421,-0.0449,-0.0447,0.6667,0.6479,0.8916,0.6786,0.875,0.8364,0.9494,0.8333
45,cluster_moe,cosine,4,2,0.5,3,0.8175,0.7827,0.8129,-0.0526,-0.0595,-0.0553,0.7027,0.8315,0.6667,0.6182,0.84,0.9057,0.962,0.7353
46,cluster_moe,cosine,4,2,0.5,none,0.8667,0.837,0.8647,0.0,0.0,0.0,0.7059,0.8434,0.9136,0.7636,0.8462,0.8163,0.95,0.8571
46,cluster_moe,cosine,4,2,0.5,0,0.8561,0.8237,0.8555,-0.0105,-0.0134,-0.0092,0.6667,0.8605,0.9024,0.7241,0.8636,0.7917,0.95,0.8302
46,cluster_moe,cosine,4,2,0.5,1,0.786,0.785,0.7863,-0.0807,-0.052,-0.0785,0.7059,0.7778,0.9136,0.7636,0.8462,0.8519,0.7634,0.6575
46,cluster_moe,cosine,4,2,0.5,2,0.7965,0.7454,0.7869,-0.0702,-0.0916,-0.0778,0.5,0.6349,0.9024,0.6774,0.7097,0.7843,0.9268,0.8276
46,cluster_moe,cosine,4,2,0.5,3,0.7825,0.7401,0.7715,-0.0842,-0.0969,-0.0933,0.6857,0.8235,0.5455,0.6562,0.7857,0.7407,0.9333,0.75
47,cluster_moe,cosine,4,2,0.5,none,0.8702,0.8439,0.8687,0.0,0.0,0.0,0.6857,0.8372,0.9,0.7692,0.8571,0.9057,0.9487,0.8475
47,cluster_moe,cosine,4,2,0.5,0,0.8421,0.8231,0.8419,-0.0281,-0.0208,-0.0267,0.6667,0.8,0.8889,0.7692,0.84,0.8889,0.898,0.8333
47,cluster_moe,cosine,4,2,0.5,1,0.807,0.7714,0.7947,-0.0632,-0.0725,-0.074,0.6667,0.4643,0.8916,0.6377,0.8235,0.9057,0.9487,0.8333
47,cluster_moe,cosine,4,2,0.5,2,0.8035,0.7685,0.7949,-0.0667,-0.0754,-0.0738,0.6486,0.809,0.6102,0.717,0.8235,0.8276,0.9308,0.7812
47,cluster_moe,cosine,4,2,0.5,3,0.8596,0.8283,0.8556,-0.0105,-0.0156,-0.0131,0.6667,0.8298,0.8889,0.6667,0.8571,0.8929,0.9427,0.8814
48,cluster_moe,cosine,4,2,0.5,none,0.8702,0.8356,0.8679,0.0,0.0,0.0,0.6667,0.8706,0.9512,0.7692,0.8571,0.8364,0.9554,0.7778
