seed,initialization,backbone,model,routing,cluster_method,G,top_k,tau,accuracy,macro_f1,weighted_f1,params_m,flops_g,model_size_mb,peak_cpu_memory_mb,cpu_latency_ms
42,from_scratch,mobilenetv3small,dense,none,none,,,,0.7544,0.7102,0.7521,1.5261,0.1229,,,
43,from_scratch,mobilenetv3small,dense,none,none,,,,0.7825,0.7531,0.7806,1.5261,0.1229,,,
44,from_scratch,mobilenetv3small,dense,none,none,,,,0.7509,0.7208,0.7527,1.5261,0.1229,,,
45,from_scratch,mobilenetv3small,dense,none,none,,,,0.7649,0.7272,0.7652,1.5261,0.1229,,,
46,from_scratch,mobilenetv3small,dense,none,none,,,,0.7754,0.7419,0.7733,1.5261,0.1229,,,
42,from_scratch,mobilenetv3small,learned_gate_moe,learned,none,4,2,0.5,0.786,0.7463,0.7839,3.4845,0.1269,,,
43,from_scratch,mobilenetv3small,learned_gate_moe,learned,none,4,2,0.5,0.7825,0.7537,0.7793,3.4845,0.1269,,,
44,from_scratch,mobilenetv3small,learned_gate_moe,learned,none,4,2,0.5,0.7754,0.7348,0.7739,3.4845,0.1269,,,
45,from_scratch,mobilenetv3small,learned_gate_moe,learned,none,4,2,0.5,0.7965,0.768,0.7955,3.4845,0.1269,,,
46,from_scratch,mobilenetv3small,learned_gate_moe,learned,none,4,2,0.5,0.7789,0.7463,0.7747,3.4845,0.1269,,,
42,from_scratch,mobilenetv3small,cluster_moe,cosine,kmeans,4,2,0.5,0.8035,0.7729,0.8044,3.4772,0.1268,,,
43,from_scratch,mobilenetv3small,cluster_moe,cosine,kmeans,4,2,0.5,0.7895,0.7492,0.7895,3.4772,0.1268,,,
44,from_scratch,mobilenetv3small,cluster_moe,cosine,kmeans,4,2,0.5,0.814,0.7874,0.8126,3.4772,0.1268,,,
45,from_scratch,mobilenetv3small,cluster_moe,cosine,kmeans,4,2,0.5,0.8351,0.8044,0.8326,3.4772,0.1268,,,
46,from_scratch,mobilenetv3small,cluster_moe,cosine,kmeans,4,2,0.5,0.7719,0.7204,0.7683,3.4772,0.1268,,,
42,imagenet_pretrained,mobilenetv3small,dense,none,none,,,,0.8842,0.8613,0.8828,1.5261,0.1229,,,
43,imagenet_pretrained,mobilenetv3small,dense,none,none,,,,0.8351,0.8039,0.8348,1.5261,0.1229,,,
44,imagenet_pretrained,mobilenetv3small,dense,none,none,,,,0.8526,0.8189,0.8516,1.5261,0.1229,,,
45,imagenet_pretrained,mobilenetv3small,dense,none,none,,,,0.8737,0.8549,0.8724,1.5261,0.1229,,,
46,imagenet_pretrained,mobilenetv3small,dense,none,none,,,,0.8421,0.8061,0.8401,1.5261,0.1229,,,
47,imagenet_pretrained,mobilenetv3small,dense,none,none,,,,0.8561,0.829,0.8556,1.5261,0.1229,,,
48,imagenet_pretrained,mobilenetv3small,dense,none,none,,,,0.8561,0.8258,0.8527,1.5261,0.1229,,,
49,imagenet_pretrained,mobilenetv3small,dense,none,none,,,,0.8456,0.8115,0.8437,1.5261,0.1229,,,
50,imagenet_pretrained,mobilenetv3small,dense,none,none,,,,0.8456,0.8111,0.8422,1.5261,0.1229,,,
